Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addMultipleItmsFrmExcel,Chrome 70.0.3538.102,,2018-11-22 14:31:40,2018-11-22 14:33:57,2m - 16.754s,FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-22 14:31:43,2018-11-22 14:33:17,1m - 33.513s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 14:31:49,2018-11-22 14:31:59,9.925s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 14:31:59,2018-11-22 14:31:59,0.533s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:31:59,2018-11-22 14:32:00,0.518s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-22 14:32:00,2018-11-22 14:32:00,0.280s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:32:00,2018-11-22 14:33:12,1m - 11.689s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 14:33:12,2018-11-22 14:33:17,5.240s,PASSED
,,,,,,
Test Cases/addItem,Chrome 70.0.3538.102,,2018-11-22 14:33:17,2018-11-22 14:33:23,5.564s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:33:20,2018-11-22 14:33:20,0.145s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:33:20,2018-11-22 14:33:21,0.756s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:33:21,2018-11-22 14:33:21,0.322s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:33:21,2018-11-22 14:33:22,0.258s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:33:22,2018-11-22 14:33:22,0.169s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:33:22,2018-11-22 14:33:22,0.114s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:33:22,2018-11-22 14:33:23,0.661s,PASSED
,,,,,,
Test Cases/addItem,Chrome 70.0.3538.102,,2018-11-22 14:33:23,2018-11-22 14:33:56,33.610s,FAILED
click,Chrome 70.0.3538.102,,2018-11-22 14:33:23,2018-11-22 14:33:23,0.129s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:33:23,2018-11-22 14:33:23,0.201s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:33:23,2018-11-22 14:33:23,0.413s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:33:23,2018-11-22 14:33:24,0.225s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:33:24,2018-11-22 14:33:24,0.123s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:33:24,2018-11-22 14:33:24,0.078s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:33:24,2018-11-22 14:33:56,32.358s,FAILED
